series_name,ds_id,ds_eval,current_data_points,dependencies_count,aremos_diffs,last_run,data_point_sha1,dependencies,first_date
UICNS@HI.M,117118,"""UICNS@HI.W"".ts.distribute_days_interpolation.aggregate(:month, :sum)",166,1,0.0,2014-07-23 08:31:10 -1000,e5fdfcfdcd14f89297271bd7b039d76225fdb614,UICNS@HI.W,2000-09-01
UICNS@HAW.Q,117117,"""UICNS@HAW.W"".ts.distribute_days_interpolation.aggregate(:quarter, :sum)",57,1,0.0,2014-07-23 08:31:07 -1000,03aa638d8266d3450bc90d2e918937db97555c35,UICNS@HAW.W,2000-07-01
UICNS@HAW.M,117116,"""UICNS@HAW.W"".ts.distribute_days_interpolation.aggregate(:month, :sum)",166,1,0.0,2014-07-23 08:31:05 -1000,9a2f0e052e21c26956770494c3fa9bff392ff502,UICNS@HAW.W,2000-09-01
UICININS@WPHU.Q,117115,"""UICININS@WPHU.W"".ts.distribute_days_interpolation.aggregate(:quarter, :sum)",57,1,0.0,2014-07-23 08:31:03 -1000,3ecca62209ffde8bc02b783aec7d9be5def3687d,UICININS@WPHU.W,2000-07-01
UICININS@WPHU.M,117114,"""UICININS@WPHU.W"".ts.distribute_days_interpolation.aggregate(:month, :sum)",166,1,0.0,2014-07-23 08:31:01 -1000,88dfffd9c538b391e5f07c145d1d23e2ed593a44,UICININS@WPHU.W,2000-09-01
UICININS@WLKU.Q,117113,"""UICININS@WLKU.W"".ts.distribute_days_interpolation.aggregate(:quarter, :sum)",57,1,0.0,2014-07-23 08:30:59 -1000,26f592d3e36595e12b1265d66494e43cbc8572f3,UICININS@WLKU.W,2000-07-01
UICININS@WLKU.M,117112,"""UICININS@WLKU.W"".ts.distribute_days_interpolation.aggregate(:month, :sum)",166,1,0.0,2014-07-23 08:30:57 -1000,952d5809e900d057538b2481c9ad18a10eff953c,UICININS@WLKU.W,2000-09-01
UICININS@OT.Q,117111,"""UICININS@OT.W"".ts.distribute_days_interpolation.aggregate(:quarter, :sum)",57,1,0.0,2014-07-23 08:30:55 -1000,30f41b5d33b53fade083af842bb043acc7eab7d7,UICININS@OT.W,2000-07-01
UICININS@OT.M,117110,"""UICININS@OT.W"".ts.distribute_days_interpolation.aggregate(:month, :sum)",166,1,0.0,2014-07-23 08:30:53 -1000,1649a336fd3f0e9425d24b9f037efa58803c9dd0,UICININS@OT.W,2000-09-01
UICININS@MOLK.Q,117109,"""UICININS@MOLK.W"".ts.distribute_days_interpolation.aggregate(:quarter, :sum)",57,1,0.0,2014-07-23 08:30:50 -1000,cb05aee5f754d80ef1f28272942693fe54d440b7,UICININS@MOLK.W,2000-07-01
UICININS@MOLK.M,117108,"""UICININS@MOLK.W"".ts.distribute_days_interpolation.aggregate(:month, :sum)",166,1,0.0,2014-07-23 08:30:49 -1000,518e42a7202c0deac57f6e41967470c843fb2feb,UICININS@MOLK.W,2000-09-01
UICININS@MAU.Q,117107,"""UICININS@MAU.W"".ts.distribute_days_interpolation.aggregate(:quarter, :sum)",57,1,0.0,2014-07-23 08:30:46 -1000,35c9e02d7741e805145fe4ab2826974cff2a91ca,UICININS@MAU.W,2000-07-01
UICININS@MAU.M,117106,"  ""UICININS@MAU.W"".ts.distribute_days_interpolation.aggregate(:month, :sum) ",166,1,0.0,2014-07-23 08:30:44 -1000,eefe2fe0c305abde2ca4f58fab3b402c90b6d060,UICININS@MAU.W,2000-09-01
UICININS@KONA.Q,117105,"""UICININS@KONA.W"".ts.distribute_days_interpolation.aggregate(:quarter, :sum)",57,1,0.0,2014-07-23 08:30:42 -1000,56fc60f08a8d10f4c4f4fe3e92104ba312af700f,UICININS@KONA.W,2000-07-01
UICININS@KONA.M,117104,"""UICININS@KONA.W"".ts.distribute_days_interpolation.aggregate(:month, :sum)",166,1,0.0,2014-07-23 08:30:40 -1000,a7a71f0ad62792e618b2908fe87fa70b60779c3d,UICININS@KONA.W,2000-09-01
UICININS@KAU.Q,117103,"""UICININS@KAU.W"".ts.distribute_days_interpolation.aggregate(:quarter, :sum)",57,1,0.0,2014-07-23 08:30:38 -1000,8ff0eddcf32115956bb69ef792922853a71af4b4,UICININS@KAU.W,2000-07-01
UICININS@KAU.M,117102,"""UICININS@KAU.W"".ts.distribute_days_interpolation.aggregate(:month, :sum)",166,1,0.0,2014-07-23 08:30:36 -1000,1b1350e0d5e9919f1ca87b64bc5906122186830d,UICININS@KAU.W,2000-09-01
UICININS@KANE.Q,117101,"""UICININS@KANE.W"".ts.distribute_days_interpolation.aggregate(:quarter, :sum)",57,1,0.0,2014-07-23 08:30:34 -1000,bdcb4fa3a25ca67c6f6b17d372a93c430b0916e4,UICININS@KANE.W,2000-07-01
UICININS@KANE.M,117100,"""UICININS@KANE.W"".ts.distribute_days_interpolation.aggregate(:month, :sum)",166,1,0.0,2014-07-23 08:30:32 -1000,d0178d143bb3aef6178934664a9d03160e9949a7,UICININS@KANE.W,2000-09-01
UICININS@HONO.Q,117099,"""UICININS@HONO.W"".ts.distribute_days_interpolation.aggregate(:quarter, :sum)",57,1,0.0,2014-07-23 08:30:30 -1000,63885fa8b90ec2952c135244f2529f6a509ffcea,UICININS@HONO.W,2000-07-01
UICININS@HONO.M,117098,"""UICININS@HONO.W"".ts.distribute_days_interpolation.aggregate(:month, :sum)",166,1,0.0,2014-07-23 08:30:28 -1000,ab3f72ceedc945dbbb0e40509e1cec8213ef319f,UICININS@HONO.W,2000-09-01
UICININS@HON.Q,117097,"""UICININS@HON.W"".ts.distribute_days_interpolation.aggregate(:quarter, :sum)",57,1,0.0,2014-07-23 08:30:25 -1000,287f315e94c889837332c7eb3d76de9034309cbe,UICININS@HON.W,2000-07-01
UICININS@HON.M,117096,"""UICININS@HON.W"".ts.distribute_days_interpolation.aggregate(:month, :sum)",166,1,0.0,2014-07-23 08:30:24 -1000,de70976b61249ad23d1c931a4eb1753bebf2a22f,UICININS@HON.W,2000-09-01
UICININS@HIONLY.Q,117095,"""UICININS@HIONLY.W"".ts.distribute_days_interpolation.aggregate(:quarter, :sum)",57,1,0.0,2014-07-23 08:30:21 -1000,a2bf907be0e882fd812d3b9277509258d502df3f,UICININS@HIONLY.W,2000-07-01
UICININS@HIONLY.M,117094,"""UICININS@HIONLY.W"".ts.distribute_days_interpolation.aggregate(:month, :sum)",166,1,0.0,2014-07-23 08:30:20 -1000,0077540508a406be60d50e35974fd28bec09c36f,UICININS@HIONLY.W,2000-09-01
UICININS@HILO.Q,117093,"""UICININS@HILO.W"".ts.distribute_days_interpolation.aggregate(:quarter, :sum)",57,1,0.0,2014-07-23 08:30:17 -1000,fb9e99c8bc5e35951db7571a338d0120e9f00663,UICININS@HILO.W,2000-07-01
UICININS@HILO.M,117092,"""UICININS@HILO.W"".ts.distribute_days_interpolation.aggregate(:month, :sum)",166,1,0.0,2014-07-23 08:30:15 -1000,47f9753b5f7ec3c4860337d0196dc2a9f78f6e4c,UICININS@HILO.W,2000-09-01
UICININS@HI.Q,117091,"""UICININS@HI.W"".ts.distribute_days_interpolation.aggregate(:quarter, :sum)",57,1,0.0,2014-07-23 08:30:13 -1000,c82bb0b947c0993c1d651cea7718c0d46f1a3275,UICININS@HI.W,2000-07-01
UICININS@HI.M,117090,"""UICININS@HI.W"".ts.distribute_days_interpolation.aggregate(:month, :sum)",166,1,0.0,2014-07-23 08:30:11 -1000,93ef972636160252035a0477c347807ac55b22dd,UICININS@HI.W,2000-09-01
UICININS@HAW.Q,117089,"""UICININS@HAW.W"".ts.distribute_days_interpolation.aggregate(:quarter, :sum)",57,1,0.0,2014-07-23 08:30:09 -1000,032e315202ea8871e1f72784b738f6873d601ccc,UICININS@HAW.W,2000-07-01
UICININS@HAW.M,117088,"""UICININS@HAW.W"".ts.distribute_days_interpolation.aggregate(:month, :sum)",166,1,0.0,2014-07-23 08:30:07 -1000,c26993c2a88f834c45ab349df5b08d0d0f4b2254,UICININS@HAW.W,2000-09-01
UICINI@WPHU.A,117087,"""UICININS@WPHU.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:30:05 -1000,2d16c76ef8c648dc19a7dd8527f37b898abea0a9,UICININS@WPHU.W,2000-01-01
UICININS@WPHU.W,117086,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""icweekly"", :row => ""increment:7:1"", :col => 4, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:30:03 -1000,74570abcd9b39e212b3170fcf80e0a5d551a2ffa,"",2000-08-19
UICINI@WLKU.A,117085,"""UICININS@WLKU.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:30:01 -1000,5a99dfa8ccf9998ce89d1d700c0ee556a9fb5a1b,UICININS@WLKU.W,2000-01-01
UICININS@WLKU.W,117084,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""icweekly"", :row => ""increment:7:1"", :col => 9, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:29:59 -1000,dbf7eea5f1930701ca3f1e81e4116f053c9d9e83,"",2000-08-19
UICINI@OT.A,117083,"""UICININS@OT.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:29:57 -1000,78b7daac11928d808b1b75a9c93d8899851442f1,UICININS@OT.W,2000-01-01
UICINI@MOLK.A,117082,"""UICININS@MOLK.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:29:55 -1000,3f8880d6bc2b57b41aa4d82fdea063859a75407f,UICININS@MOLK.W,2000-01-01
UICININS@MOLK.W,117081,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""icweekly"", :row => ""increment:7:1"", :col => 10, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:29:53 -1000,be41b93eb7593a055e6db5f6132206c28406c0c0,"",2000-08-19
UICINI@MAU.A,117080,"""UICININS@MAU.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:29:51 -1000,8520c1ae8ea34b773a07534732ec9a864932a190,UICININS@MAU.W,2000-01-01
UICININS@MAU.W,117079,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""icweekly"", :row => ""increment:7:1"", :col => 11, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:29:49 -1000,d343435c545ff2ecb1d7ff0ce05711c52a79bead,"",2000-08-19
UICINI@KONA.A,117078,"""UICININS@KONA.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:29:47 -1000,a304d018281d175e2e97d05f6b67da50bff6fb53,UICININS@KONA.W,2000-01-01
UICININS@KONA.W,117077,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""icweekly"", :row => ""increment:7:1"", :col => 7, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:29:45 -1000,bf67e4f5d0a8e18c0ee096abd2bd5644a9b282f9,"",2000-08-19
UICINI@KAU.A,117076,"""UICININS@KAU.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:29:43 -1000,ea66ef69ebe51b3b86640dc3da373d810e57aeb5,UICININS@KAU.W,2000-01-01
UICININS@KAU.W,117075,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""icweekly"", :row => ""increment:7:1"", :col => 12, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:29:41 -1000,93e9353bf8593d4c5632974071c72f4f7e08db30,"",2000-08-19
UICINI@KANE.A,117074,"""UICININS@KANE.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:29:39 -1000,a0b338bb5b7133befbbb6fcc75597b1821754904,UICININS@KANE.W,2000-01-01
UICININS@KANE.W,117073,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""icweekly"", :row => ""increment:7:1"", :col => 3, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:29:37 -1000,5a6fa3f25a8995694afe0dd420b8ddf36d9c49f9,"",2000-08-19
UICINI@HONO.A,117072,"""UICININS@HONO.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:29:35 -1000,dd32630ee62f92591164c027373eff62e43518e0,UICININS@HONO.W,2000-01-01
UICININS@HONO.W,117071,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""icweekly"", :row => ""increment:7:1"", :col => 2, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:29:33 -1000,e746d58bc5d7c86b79098bd44f66ffb015ef571e,"",2000-08-19
UICINI@HON.A,117070,"""UICININS@HON.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:29:32 -1000,a7d0518677dd5241564997b58259f74da7866d96,UICININS@HON.W,2000-01-01
UICININS@HON.W,117069,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""icweekly"", :row => ""increment:7:1"", :col => 5, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:29:30 -1000,eaa2f3e7ca5e8b6bccbefc1821eea3c8ebbd91a7,"",2000-08-19
UICINI@HIONLY.A,117068,"""UICININS@HIONLY.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:29:28 -1000,710d5f88db677d742322214ca11aa066dfbba24e,UICININS@HIONLY.W,2000-01-01
UICININS@HIONLY.W,117067,"""UICININS@HI.W"".ts - ""UICININS@OT.W"".ts",726,2,0.0,2014-07-23 08:29:26 -1000,0a9d198117f8342d67cb294ea707865d2960f7f3,"UICININS@HI.W, UICININS@OT.W",2000-08-19
UICININS@OT.W,117066,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""icweekly"", :row => ""increment:7:1"", :col => 13, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:29:25 -1000,a8ef2fa340c2c655360c53e9d18793a5c50e1e6b,"",2000-08-19
UICINI@HILO.A,117065,"""UICININS@HILO.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:29:24 -1000,25fed3cf5726d270d350df63cfba8d6755eeb41b,UICININS@HILO.W,2000-01-01
UICININS@HILO.W,117064,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""icweekly"", :row => ""increment:7:1"", :col => 6, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:29:21 -1000,7927a5ebf8f4baf90346eb4ceca93616cacdaaf6,"",2000-08-19
UICINI@HI.A,117063,"""UICININS@HI.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:29:19 -1000,121179379001533944639793bd2a3d082ba22334,UICININS@HI.W,2000-01-01
UICININS@HI.W,117062,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""icweekly"", :row => ""increment:7:1"", :col => 14, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:29:17 -1000,735ba887f1b4b539a620296c3abb425bcf73fc06,"",2000-08-19
UICINI@HAW.A,117061,"""UICININS@HAW.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:29:16 -1000,050d3f595adfbc8ae5eb7331f3a8cb2d0c2dcafa,UICININS@HAW.W,2000-01-01
UICININS@HAW.W,117060,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""icweekly"", :row => ""increment:7:1"", :col => 8, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:29:14 -1000,b7730993356524d5a88bb14800ec1b5aaa231535,"",2000-08-19
UIC@WPHU.A,117059,"""UICNS@WPHU.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:29:12 -1000,95b0882cf0ffa0e8b447d73c808c61d33ffab85a,UICNS@WPHU.W,2000-01-01
UICNS@WPHU.W,117058,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""iwcweekly"", :row => ""increment:7:1"", :col => 4, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:29:10 -1000,7ece8030c6a6f0b3dfcb1d47e49e2cc7ec3ad62a,"",2000-08-19
UIC@WLKU.A,117057,"""UICNS@WLKU.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:29:08 -1000,f927bea3d2c5004d4d476fcc1d219f9e400ab11e,UICNS@WLKU.W,2000-01-01
UICNS@WLKU.W,117056,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""iwcweekly"", :row => ""increment:7:1"", :col => 9, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:29:06 -1000,36eb227a4e62ae461346ca2ed58651512e45b594,"",2000-08-19
UIC@OT.A,117055,"""UICNS@OT.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:29:04 -1000,c4cd2450bf4526cede7ff416dc2d8acd78cf0e91,UICNS@OT.W,2000-01-01
UIC@MOLK.A,117054,"""UICNS@MOLK.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:29:02 -1000,b5c1973dd9ef04a7f1c1eeefc676b03fab8abd7a,UICNS@MOLK.W,2000-01-01
UICNS@MOLK.W,117053,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""iwcweekly"", :row => ""increment:7:1"", :col => 10, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:29:00 -1000,27f12578a1e18ebe2b224163248342aa0db17686,"",2000-08-19
UIC@MAU.A,117052,"""UICNS@MAU.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:28:58 -1000,682d268ec3a36c138042b5f44baf15c1827e6a18,UICNS@MAU.W,2000-01-01
UICNS@MAU.W,117051,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""iwcweekly"", :row => ""increment:7:1"", :col => 11, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:28:56 -1000,4ba6415b54cb15034dbcdde5466e7b8bd3a8a69e,"",2000-08-19
UIC@KONA.A,117050,"""UICNS@KONA.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:28:54 -1000,d6a25a2d94006c151c4933a7d561b087d4927afd,UICNS@KONA.W,2000-01-01
UICNS@KONA.W,117049,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""iwcweekly"", :row => ""increment:7:1"", :col => 7, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:28:52 -1000,ff0b501bd497783127310fd4d45ef8ba40ffc8fc,"",2000-08-19
UIC@KAU.A,117048,"""UICNS@KAU.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:28:50 -1000,eda1eeb13142c5b4a25bed9141b691c467802d9c,UICNS@KAU.W,2000-01-01
UICNS@KAU.W,117047,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""iwcweekly"", :row => ""increment:7:1"", :col => 12, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:28:48 -1000,11aab4bd6e1687672d4ddd1dd1562be1a3bfce9e,"",2000-08-19
UIC@KANE.A,117046,"""UICNS@KANE.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:28:46 -1000,bce0bbe62d393a8cfe96dc18c9ad9095418013fe,UICNS@KANE.W,2000-01-01
UICNS@KANE.W,117045,"Series.load_from_download(  ""UIC@hawaii.gov"", { :file_type => ""xls"", :start_date => ""2000-08-19"", :sheet => ""iwcweekly"", :row => ""increment:7:1"", :col => 3, :frequency => ""W"" })/1000",726,0,0.0,2014-07-23 08:28:44 -1000,6462540dc9478c88197af4136cbe6badccafd867,"",2000-08-19
UIC@HONO.A,117044,"""UICNS@HONO.W"".ts.distribute_days_interpolation.aggregate(:year, :sum)",15,1,0.0,2014-07-23 08:28:42 -1000,fbdde08fadadbf5e48c62891f622f2d78f75bfc2,UICNS@HONO.W,2000-01-01
